รหัสพัสดุ,รายละเอียดพัสดุ,"หน่วย
นับ",ราคากลาง,ประเภท,ใช้ในงานแก้ไฟ
1040070011,"ชุดอุปกรณ์สำหรับปลด-สับชุดคาปาซิเตอร์แบบควบคุมด้วยวาร์ชนิดสวิตช์เปิดได้เมื่อมีโหลดแบบแวคคิวอัม 3 เฟส 22 เควี 200 แอมป์ [พร้อมอุปกรณ์ประกอบรหัส 1040070306 , 1040070307 , 1040070309 , 1050110002] ",EA,"604,800.00",พัสดุหลัก,ไม่ใช้
1040070107,"สวิตช์เปิดได้เมื่อมีโหลดชนิด เอส เอฟ ซิกซ์ สามารถใช้การควบคุมระยะไกล 3 เฟส 33  เควี 400 แอมป์  [พร้อมอุปกรณ์ประกอบรหัส 1040070305 ,  1040073012 , 1000120007] ",EA,"231,400.00",พัสดุหลัก,ไม่ใช้
1040070110,"ชุดอุปกรณ์สำหรับปลด-สับชุดคาปาซิเตอร์แบบควบคุมด้วยค่าวาร์ ชนิดสวิตช์เปิดได้เมื่อมีโหลดแบบออยล์ 3 เฟส 33 เควี 135 แอมป์ [พร้อมอุปกรณ์ประกอบรหัส 1040070306 , 1040070308 , 1040070310 , 1050110002]  ",EA,"952,600.00",พัสดุหลัก,ไม่ใช้
1040070111,"ชุดอุปกรณ์สำหรับปลด-สับชุดคาปาซิเตอร์แบบควบคุมด้วยค่าวาร์ ชนิดสวิตช์เปิดได้เมื่อมีโหลดแบบแวคคิวอัม 3 เฟส 33 เควี 135 แอมป์ [พร้อมอุปกรณ์ประกอบรหัส 1040070306 ,1040070308 , 1040070310 , 1050110002]  ",EA,"975,800.00",พัสดุหลัก,ไม่ใช้
1040080004,"RECLOSER 22KV630A12KA(SOLID)WITH HANGER [พร้อมอุปกรณ์ประกอบรหัส 1040080302 , 1040073015]  ",EA,"225,000.00",พัสดุหลัก,ไม่ใช้
1040080103,"RECLOSER 33KV630A12KA(SOLID)WITH HANGER [พร้อมอุปกรณ์ประกอบรหัส 1040080302 , 1040073016]  ",PAC,"306,600.00",พัสดุหลัก,ไม่ใช้
1050000011,"TR., 30 KVA,1P,22-0.48/0.24 KV,SC",EA,"87,170.00",พัสดุหลัก,ใช้
1050000206,"TR., 30 KVA,1P,19-0.48/0.24 KV,SC",EA,"96,670.00",พัสดุหลัก,ใช้
1050010066,"TR.,50 KVA,3P,22-0.416/0.24 KV,DYN11,SC",EA,"132,500.00",พัสดุหลัก,ใช้
1050010067,"TR.,100 KVA,3P,22-0.416/0.24 KV,DYN11,SC",EA,"199,000.00",พัสดุหลัก,ใช้
1050010068,"TR.,160 KVA,3P,22-0.416/0.24 KV,DYN11,SC",EA,"248,000.00",พัสดุหลัก,ใช้
1050010069,"TR.,250 KVA,3P,22-0.416/0.24 KV,DYN11,SC",EA,"281,900.00",พัสดุหลัก,ใช้
1050010138,"TR.,50 KVA,3P,33-0.416/0.24 KV,DYN11,SC",EA,"151,700.00",พัสดุหลัก,ใช้
1050010139,"TR.,100 KVA,3P,33-0.416/0.24 KV,DYN11,SC",EA,"202,500.00",พัสดุหลัก,ใช้
1050010140,"TR.,160 KVA,3P,33-0.416/0.24 KV,DYN11,SC",EA,"252,500.00",พัสดุหลัก,ใช้
1050010141,"TR.,250 KVA,3P,33-0.416/0.24 KV,DYN11,SC",EA,"295,800.00",พัสดุหลัก,ใช้
1050010702,"IOT TR, 160KVA 3P 22-0.416KV DYN11 SC",EA,"263,800.00",พัสดุหลัก,ใช้
1050010703,"IOT TR, 250KVA 3P 22-0.416KV DYN11 SC",EA,"303,400.00",พัสดุหลัก,ใช้
1050010712,"IOT TR, 160KVA 3P 33-0.416KV DYN11 SC",EA,"270,600.00",พัสดุหลัก,ใช้
1050010713,"IOT TR, 250KVA 3P 33-0.416KV DYN11 SC",EA,"345,800.00",พัสดุหลัก,ใช้
1050050000,แคแปซิเตอร์ 1 เฟส สองบุชชิ่ง ใช้นอกอาคาร 12.7 เควี 100 กิโลวาร์,EA,"9,530.00",พัสดุหลัก,ไม่ใช้
1050050100,แคแปซิเตอร์ หนึ่งบุชชิ่ง ใช้นอกอาคาร 33 GRDY/19 เควี 100 กิโลวาร์,EA,"8,047.00",พัสดุหลัก,ไม่ใช้
1060050019,METER (E) WATTHOUR 1P 5(100) A O/D BLE,EA,435,พัสดุหลัก,ไม่ใช้
1060050111,METER (E) WATTHOUR 3P 5(100) A O/D BLE,EA,"1,395.00",พัสดุหลัก,ไม่ใช้
1060070511,อุปกรณ์สำหรับเข้ารหัสข้อมูล ชนิด GSM/GPRS สำหรับใช้กับ ทีโอยู มิเตอร์,EA,"4,689.00",พัสดุหลัก,ไม่ใช้
1060070518,METER.AMR3P3W110V5A (FUNC),EA,"6,074.00",พัสดุหลัก,ไม่ใช้
1060070519,METER.AMR3P4W 63.5/110V 5A (FUNC),EA,"16,450.00",พัสดุหลัก,ไม่ใช้
1060070520,METER.AMR 3P4W 220/380V 5A (FUNC),EA,"6,074.00",พัสดุหลัก,ไม่ใช้
1060070700,METER SMART 1P 2W 230V 5(45)A PLC,EA,"1,950.00",พัสดุหลัก,ไม่ใช้
1060070703,METER SMART 1P 2W 230V 5(100)A PLC,EA,"2,333.00",พัสดุหลัก,ไม่ใช้
